age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_sub_willingness_binary,uses_smartphone,uses_computer,uses_speaker,uses_wearable,device_diversity,primary_listening_device,Age_Segment,Relaxation,Motivational,Sadness,Social,Uses_Recommendations,Uses_Playlists,Uses_Radio,Uses_External,music_expl_category,Travel_Listening,Leisure_Listening,Workout_Listening,Study_Listening,Office_Listening,Night_Winddown,pod_lis_category
20-35,Female,More than 2 years,Smart speakers or voice assistants,Free,Yes,Family plan,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3,Daily,Comedy,Interview,Both,Both,Ok,1,0,0,1,0,1,Speaker,Young Adult,0,0,1,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Regular user
12-20,Male,More than 2 years,Computer or laptop,Free,Yes,Individual plan,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2,Several times a week,Comedy,Interview,Both,No Podcast Usage,Satisfied,1,0,1,0,0,1,Computer,Teen Listener,0,0,0,1,0,1,0,0,Playlist-driven,0,0,1,0,0,0,Regular user
35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Student plan,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4,Once a week,Sports,Interview,No Podcast Usage,Both,Satisfied,1,0,0,1,0,1,Speaker,Adult Listener,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,1,0,0,Light user
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,1,0,2,Smartphone,Young Adult,1,0,0,1,1,1,0,0,Hybrid: Rec + Playlist,0,1,1,0,1,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,0,0,Light user
20-35,Male,More than 2 years,Smartphone,Free,No,None,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,0,0,0,1,External Discovery,0,0,1,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,0,0,0,1,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,0,0,0,1,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Regular user
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Individual plan,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,1,1,0,Playlist-driven,1,1,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,1,0,1,0,Non-podcast user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,0,1,0,0,Playlist-driven,1,1,0,0,0,0,Regular user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Several times a week,Comedy,Interview,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Regular user
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,0,0,0,1,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,1,0,0,1,Algorithm-driven,1,0,0,0,1,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,Yes,Unknown,Music,Pop,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,0,0,0,1,0,Light user
